numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2018,2,2018-03-26 00:00:00+00:00,ÁTILA LIRA,PSB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04114985000137,TOP LINE TAXI AÉREO LTDA,5400.00,0.00,5400.00
2018,1,2018-03-26 00:00:00+00:00,RODRIGO MARTINS,PSB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04114985000137,TOP LINE TAXI AEREO LTDA,10800.00,0.00,10800.00
2018,3,2018-03-23 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Táxi Aéreo,4500.00,0.00,4500.00
2018,3,2018-03-22 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Taxi Aéreo,4800.00,0.00,4800.00
2018,3,2018-03-22 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Táxi Aéreo,3000.00,0.00,3000.00
2018,3,2018-03-21 00:00:00+00:00,JUTAHY JUNIOR,PSDB,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,8500.00,0.00,8500.00
2018,1,2018-03-21 00:00:00+00:00,NILSON LEITÃO,PSDB,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03111374000172,PROTAXI PRO OESTE TAXI AEREO LIMITADA,5702.10,0.00,5702.10
2018,3,2018-03-20 00:00:00+00:00,JÚLIA MARINHO,PSC,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,05897794000151,STILUS TAXI AEREO LTDA,5000.00,0.00,5000.00
2018,3,2018-03-20 00:00:00+00:00,NILSON LEITÃO,PSDB,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,00320967000150,WDA TAXI AEREO LTDA,8800.00,0.00,8800.00
2018,3,2018-03-19 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04984400000130,CTA - CLEITON TAXI AEREO LTDA,32160.00,0.00,32160.00
2018,3,2018-03-19 00:00:00+00:00,PEDRO CHAVES,MDB,GO,LOCAÇÃO OU FRETAMENTO DE AERONAVES,02088938000130,SETE TAXI AEREO LTDA,10000.00,0.00,10000.00
2018,3,2018-03-19 00:00:00+00:00,JÚLIO CESAR,PSD,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARA TAXI AEREO LTDA,9000.00,0.00,9000.00
2018,3,2018-03-16 00:00:00+00:00,LÚCIO VALE,PR,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,05897794000151,STILUS TAXI AEREO LTDA,3600.00,0.00,3600.00
2018,3,2018-03-14 00:00:00+00:00,PAES LANDIM,PTB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARA TAXI AEREO LTDA,20586.00,0.00,14627.50
2018,3,2018-03-14 00:00:00+00:00,PAES LANDIM,PTB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARA TAXI AEREO LTDA,20586.00,0.00,5958.53
2018,2,2018-03-14 00:00:00+00:00,GIACOBO,PR,PR,LOCAÇÃO OU FRETAMENTO DE AERONAVES,75543611000185,HELISUL TAXI AEREO LTDA,17000.00,0.00,17000.00
2018,3,2018-03-12 00:00:00+00:00,LUCIO VIEIRA LIMA,MDB,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,35000.00,0.00,35000.00
2018,3,2018-03-07 00:00:00+00:00,JOSÉ AIRTON CIRILO,PT,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,07882356000145,EASY TAXI AEREO LTDA,11020.00,0.00,11020.00
2018,3,2018-03-06 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04778630000142,RIMA - RIO MADEIRA AEROTAXI LTDA,6279.90,0.00,6279.90
2018,3,2018-03-06 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04778630000142,RIMA - RIO MADEIRA AEROTAXI LTDA,6279.90,0.00,6279.90
2018,3,2018-03-05 00:00:00+00:00,WLADIMIR COSTA,SD,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,06964144000144,Heiss Taxi Aéreo Ltda,4000.00,0.00,4000.00
2018,3,2018-03-05 00:00:00+00:00,FRANCISCO CHAPADINHA,PODE,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10626900000100,SANTAREM TAXI AREO LTDA,5200.00,0.00,1660.71
2018,3,2018-03-05 00:00:00+00:00,FRANCISCO CHAPADINHA,PODE,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10626900000100,SANTAREM TAXI AREO LTDA,5200.00,0.00,3539.29
2018,3,2018-03-03 00:00:00+00:00,NILSON PINTO,PSDB,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10626900000100,SANTAREM TÁXI AEREO LTDA,7500.00,0.00,7500.00
2018,3,2018-03-01 00:00:00+00:00,FABIO GARCIA,DEM,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,***16684***,LUIS NAURO SOARES DA SILVA,4280.00,0.00,4280.00
2018,2,2018-02-27 00:00:00+00:00,NILSON LEITÃO,PSDB,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,00320967000150,WDA TAXI AEREO LTDA - EPP,8500.00,0.00,8500.00
2018,2,2018-02-26 00:00:00+00:00,PAULO AZI,DEM,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10701541000109,MARCOS MELLO MONTEIRO DE REZENDE,4800.00,0.00,4800.00
2018,2,2018-02-26 00:00:00+00:00,MOISÉS DINIZ,PCdoB,AC,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03007932000154,ZANATUR AGENCIA DE VIAGENS E TURISMO LTDA,5640.00,0.00,5640.00
2018,2,2018-02-23 00:00:00+00:00,ÁTILA LINS,PP,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10441464000278,ART TAXI AEREO LTDA EPP,9000.00,0.00,9000.00
2018,2,2018-02-23 00:00:00+00:00,IRACEMA PORTELLA,PP,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04114985000137,TOP LINE TAXI AEREO LTDA,12350.00,0.00,12350.00
2018,1,2018-02-23 00:00:00+00:00,PAES LANDIM,PTB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03003930000197,CEARÁ TÁXI AÉREO LTDA,21734.00,0.00,21734.00
2018,1,2018-02-22 00:00:00+00:00,MANDETTA,DEM,MS,LOCAÇÃO OU FRETAMENTO DE AERONAVES,70390497000187,AMAPIL TAXI AEREO LTDA,5365.00,0.00,5365.00
2018,1,2018-02-22 00:00:00+00:00,MANDETTA,DEM,MS,LOCAÇÃO OU FRETAMENTO DE AERONAVES,70390497000187,AMAPIL TAXI AEREO LTDA,8250.00,0.00,8250.00
2018,2,2018-02-21 00:00:00+00:00,NILSON LEITÃO,PSDB,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,00320967000150,WDA TAXI AEREO LTDA,4500.00,0.00,4500.00
2018,2,2018-02-20 00:00:00+00:00,GENECIAS NORONHA,SD,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,13087728000144,SOLAR TAXI AEREO LTDA,10500.00,0.00,10500.00
2018,1,2018-02-19 00:00:00+00:00,ADAIL CARNEIRO,PODE,CE,LOCAÇÃO OU FRETAMENTO DE AERONAVES,01806823000252,NORTH STAR TAXI AEREO LTDA,6000.00,0.00,6000.00
2018,2,2018-02-16 00:00:00+00:00,LUCIO VIEIRA LIMA,MDB,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,16200.00,0.00,16200.00
2018,2,2018-02-16 00:00:00+00:00,ALFREDO NASCIMENTO,PR,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04614277000165,RICO TAXI AEREO LTDA,5000.00,0.00,5000.00
2018,2,2018-02-15 00:00:00+00:00,FABIO GARCIA,DEM,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,***16684***,LUIS NAURO SOARES DA SILVA,8000.00,0.00,8000.00
2018,2,2018-02-14 00:00:00+00:00,FRANCISCO CHAPADINHA,PODE,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10626900000100,SANTAREM TAXI AREO LTDA,5000.00,0.00,5000.00
2018,2,2018-02-09 00:00:00+00:00,PROF. GEDEÃO AMORIM,MDB,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10441464000278,A. R. T. TAXI AEREO LTDA,4900.00,0.00,4900.00
2018,2,2018-02-08 00:00:00+00:00,ANTONIO BRITO,PSD,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,14674451000119,ATA AEROTAXI ABAETE LTDA,10000.00,0.00,10000.00
2018,2,2018-02-07 00:00:00+00:00,ALFREDO NASCIMENTO,PR,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04614277000165,RICO TAXI AEREO LTDA,5500.00,0.00,5500.00
2018,1,2018-02-07 00:00:00+00:00,PAUDERNEY AVELINO,DEM,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03090756000167,AMAZONAVES TAXI AEREO LTDA,6000.00,0.00,6000.00
2018,1,2018-02-07 00:00:00+00:00,SILAS CÂMARA,PRB,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03090756000167,AMAZONAVES TAXI AEREO LTDA,72400.00,0.00,36441.80
2018,1,2018-02-07 00:00:00+00:00,SILAS CÂMARA,PRB,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03090756000167,AMAZONAVES TAXI AEREO LTDA,72400.00,0.00,35958.20
2018,1,2018-02-07 00:00:00+00:00,PAUDERNEY AVELINO,DEM,AM,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03090756000167,AMAZONAVES TAXI AEREO LTDA,5000.00,0.00,5000.00
2018,2,2018-02-06 00:00:00+00:00,ELMAR NASCIMENTO,DEM,BA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10701541000109,MARCOS MELLO MONTEIRO DE REZENDE - ME,6480.00,0.00,6480.00
2018,2,2018-02-05 00:00:00+00:00,MOISÉS DINIZ,PCdoB,AC,LOCAÇÃO OU FRETAMENTO DE AERONAVES,03007932000154,ZANATUR AGENCIA DE VIAGENS E TURISMO LTDA - ME,12750.00,0.00,12750.00
2018,1,2018-02-05 00:00:00+00:00,FRANCISCO CHAPADINHA,PODE,PA,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10626900000100,SANTAREM TAXI AREO LTDA - EPP,6300.00,0.00,6300.00
2018,1,2018-02-05 00:00:00+00:00,RODRIGO MARTINS,PSB,PI,LOCAÇÃO OU FRETAMENTO DE AERONAVES,04114985000137,TOP LINE TAXI AEREO LTDA,8400.00,0.00,8400.00
2018,2,2018-02-03 00:00:00+00:00,NILSON LEITÃO,PSDB,MT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,00320967000150,WDA TAXI AEREO LTDA,8500.00,0.00,8500.00
